UnitID	ChinID	CF_kHz	Threshold_dBSPL	Q10local	Q10global	TTR_dB	SpontRate	HearingStatus	StimSNR	RespCorr	RespCorrRaw	DR_SN	DR_N	DR_SNrelN
347_2_5	347	4.058838883	24.1712410200263	3.25464006060507	3.25464006060508	NaN	5.3	1	-5	0.00713474497594523	0.00713474497594523	65.8000000000001	59.8	6.00000000000002
347_2_6	347	3.591779023	15.6779622591108	2.17084366098174	2.17084366098174	NaN	72.2333333333333	1	-10	0.001	0.000356494050695613	104.8	104.6	1
347_2_6	347	3.591779023	15.6779622591108	2.17084366098174	2.17084366098174	NaN	72.2333333333333	1	0	0.0074212541104428	0.0074212541104428	105	100.8	4.19999999999997
347_2_8	347	4.313194605	14.1419520069938	4.22154758279569	4.22154758279569	NaN	75.1	1	-5	0.001	-0.00600883475953601	108.8	112.2	1
347_2_9	347	4.062282195	-0.9053304076506	8.91707758411635	8.91707758411633	NaN	75.8	1	0	0.0102632472539614	0.0102632472539614	110.2	102	8.2
347_2_10	347	3.434560755	1.62764254898821	6.70709831303401	6.70709831303401	NaN	44.3	1	-10	0.00951424066660367	0.00951424066660367	115.555555555556	107.5	8.05555555555553
347_3_1	347	6.102365795	18.8788131211768	5.90366298218852	5.90366298218853	NaN	4.03333333333333	1	-10	0.0229294399097675	0.0229294399097675	78.8333333333334	60.6666666666667	18.1666666666667
347_3_2	347	4.572157594	10.3389939420352	4.6852454283541	4.6852454283541	NaN	127.033333333333	1	-5	0.00674717291757701	0.00674717291757701	90.0916666666667	84.0000000000001	6.09166666666664
347_3_2	347	4.572157594	10.3389939420352	4.6852454283541	4.6852454283541	NaN	127.033333333333	1	0	0.00795582979952081	0.00795582979952081	91.4285714285714	80.9523809523809	10.4761904761905
347_3_3	347	4.144501066	0.563370857245087	8.04135068440797	8.04135068440798	NaN	91.6666666666667	1	-5	0.00372584964469899	0.00372584964469899	118.478260869565	114.166666666667	4.31159420289868
347_3_4	347	4.398241206	2.5536991469761	8.27045802453244	8.27045802453244	NaN	69.6333333333333	1	-10	0.001	-0.0043805008439991	91.5625000000001	94.375	1
